항목,시점,이용행태별(1),만60-69세,만70세이상
그렇다 (%),2021,개인 정보 및 사생활 보호 방법에 대한 인지 정도,15.7,2.4000000000000004
그렇다 (%),2021,개인정보 유출 시 대응 방법에 대한 인지 정도,12.8,1.9
그렇다 (%),2021,"구글, 네이버 등 인터넷 검색엔진에서 검색어 사용하여 정보검색 가능 정도",44.9,11.7
그렇다 (%),2021,기기의 악성코드 검사 및 치료 가능 정도,10.4,1.1
그렇다 (%),2021,디스플레이/소리/보안/알람/입력방법 등의 환경설정 가능 정도,30.6,5.9
그렇다 (%),2021,모바일 뱅킹 등 금융거래 가능 정도,27.700000000000003,3.3
그렇다 (%),2021,무선 네트워크 설정 가능 정도,47.599999999999994,12.1
그렇다 (%),2021,문서나 자료 작성 가능 정도,11.899999999999999,1.4
그렇다 (%),2021,쇼핑 및 공연 등 예약/예매 가능 정도,21.7,2.8
그렇다 (%),2021,수신된 이메일 열람 및 확인 가능 정도,24.7,4.1000000000000005
그렇다 (%),2021,수신된 인스턴트 메신저 열람 및 확인 가능 정도,77.5,33.2
그렇다 (%),2021,수신된 휴대폰 문자메시지 열람 및 확인 가능 정도,83.5,49.400000000000006
그렇다 (%),2021,스팸문자나 피싱문자 등 위험한 문자 구분 및 신고 방법 인지 정도,8.3,1.2000000000000002
그렇다 (%),2021,스팸문자나 피싱문자 등 위험한 문자 구분 및 차단 방법 인지 정도,10.8,1.2
그렇다 (%),2021,웹사이트 주소를 인터넷 주소창에 직접 입력하여 방문 가능 정도,38.9,7.9
그렇다 (%),2021,이메일 작성하여 타인에게 발송 가능 정도,23.4,3.3
그렇다 (%),2021,이메일에 첨부된 파일 다운로드하여 열람 가능 정도,16.9,2.6
그렇다 (%),2021,이메일에 파일 첨부하여 발송 가능 정도,18.2,2.7
그렇다 (%),2021,인스턴트 메신저 작성하여 타인에게 발신 가능 정도,71.69999999999999,27.700000000000003
그렇다 (%),2021,인스턴트 메신저상 사진 및 문서 등 타인에게 전송 가능 정도,61.9,21.3
그렇다 (%),2021,"정보 검색하지 못 하는 경우, 검색어를 바꾸거나 고급검색방법을 활용해 추가 검색 진행 가능 정도",24.2,4.3
그렇다 (%),2021,즐겨찾기를 통해 인터넷 사이트 방문 가능 정도,41.0,9.0
그렇다 (%),2021,파일을 컴퓨터로 이동 가능 정도,13.5,1.9000000000000001
그렇다 (%),2021,필요한 애플리케이션 설치/삭제/업데이트 가능 정도,18.3,2.8
그렇다 (%),2021,휴대폰 문자메시지 작성하여 타인에게 발신 가능 정도,78.5,38.6
그렇다 (%),2022,"구글, 네이버 등 인터넷 검색엔진에서 검색어 사용하여 정보검색 가능 정도",71.9,19.299999999999997
그렇다 (%),2022,디스플레이/소리/보안/알람/입력방법 등의 환경설정 가능 정도,36.099999999999994,7.9
그렇다 (%),2022,모바일 뱅킹 등 금융거래 가능 정도,39.1,6.6
그렇다 (%),2022,무선 네트워크 설정 가능 정도,59.7,15.4
그렇다 (%),2022,문서나 자료 작성 가능 정도,14.5,2.4
그렇다 (%),2022,쇼핑 및 공연 등 예약/예매 가능 정도,26.4,4.4
그렇다 (%),2022,수신된 이메일 열람 및 확인 가능 정도,30.799999999999997,6.4
그렇다 (%),2022,스팸문자나 피싱문자 등 위험한 문자 구분 및 차단 방법 인지 정도,15.7,2.0
그렇다 (%),2022,이메일 작성하여 타인에게 발송 가능 정도,23.7,4.6
그렇다 (%),2022,인스턴트 메신저 작성하여 타인에게 발신 가능 정도,85.6,37.900000000000006
그렇다 (%),2022,인스턴트 메신저상 사진 및 문서 등 타인에게 전송 가능 정도,75.1,27.0
그렇다 (%),2022,파일을 컴퓨터로 이동 가능 정도,17.4,3.0
그렇다 (%),2022,필요한 애플리케이션 설치/삭제/업데이트 가능 정도,22.5,3.5
그렇다 (%),2022,휴대폰 문자메시지 작성하여 타인에게 발신 가능 정도,88.30000000000001,42.2
그렇다 (%),2023,"구글, 네이버 등 인터넷 검색엔진에서 검색어 사용하여 정보검색 가능 정도",64.1,19.299999999999997
그렇다 (%),2023,디스플레이/소리/보안/알람/입력방법 등의 환경설정 가능 정도,38.7,8.4
그렇다 (%),2023,모바일 뱅킹 등 금융거래 가능 정도,43.7,6.9
그렇다 (%),2023,무선 네트워크 설정 가능 정도,57.9,16.6
그렇다 (%),2023,문서나 자료 작성 가능 정도,15.7,2.8
그렇다 (%),2023,쇼핑 및 공연 등 예약/예매 가능 정도,32.900000000000006,4.5
그렇다 (%),2023,수신된 이메일 열람 및 확인 가능 정도,32.2,5.300000000000001
그렇다 (%),2023,스팸문자나 피싱문자 등 위험한 문자 구분 및 차단 방법 인지 정도,19.3,2.4
그렇다 (%),2023,이메일 작성하여 타인에게 발송 가능 정도,27.799999999999997,5.0
그렇다 (%),2023,인스턴트 메신저 작성하여 타인에게 발신 가능 정도,82.8,39.3
그렇다 (%),2023,인스턴트 메신저상 사진 및 문서 등 타인에게 전송 가능 정도,75.5,29.799999999999997
그렇다 (%),2023,파일을 컴퓨터로 이동 가능 정도,19.2,3.4000000000000004
그렇다 (%),2023,필요한 애플리케이션 설치/삭제/업데이트 가능 정도,24.700000000000003,3.5
그렇다 (%),2023,휴대폰 문자메시지 작성하여 타인에게 발신 가능 정도,86.0,42.6
그렇다 (%),2024,"구글, 네이버 등 인터넷 검색엔진에서 검색어 사용하여 정보검색 가능 정도",68.19999999999999,21.9
그렇다 (%),2024,디스플레이/소리/보안/알람/입력방법 등의 환경설정 가능 정도,47.1,10.8
